run,arm,problem_index,seed,_step,curve/batch_max_reward,curve/batch_mean_reward,train/self_distillation/rewards/reward_fn,curve/mean_reward,train/self_distillation/reward_mean,train/self_distillation/group_reward_std_mean,train/self_distillation/reward_min,train/self_distillation/reward_max,train/self_distillation/reward_std,curve/max_reward
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,0.0,1.0,0.22,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,1.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,2.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,3.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,4.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,14.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,0.0,,,,0.33125,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,1.0,,,,0.4,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,2.0,,,,0.15,,,,,,0.325
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,3.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,4.0,,,,0.09375,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,5.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,6.0,,,,0.35,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,7.0,,,,0.225,,,,,,0.75
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,8.0,,,,0.25625,,,,,,0.6
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,9.0,,,,0.3875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,10.0,,,0.23874999731779098,,0.23874999731779098,0.26521767787635325,0.060000000335276124,0.6200000002980233,0.26521767787635325,
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,11.0,,,,0.21875,,,,,,0.6
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,12.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,13.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,14.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,15.0,,,,0.05625,,,,,,0.075
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,16.0,,,0.19874999672174454,,0.19874999672174454,0.250370910204947,0.05000000074505806,0.5700000047683715,0.250370910204947,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,0.0,0.175,0.0875,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,1.0,0.325,0.1225,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,2.0,1.0,0.38,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,3.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,4.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,6.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,TF,39,1,14.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,0.0,,,,0.2125,,,,,,0.325
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,1.0,,,,0.61875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,2.0,,,,0.1,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,3.0,,,,0.1875,,,,,,0.6
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,4.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,5.0,,,,0.05625,,,,,,0.075
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,6.0,,,,0.14375,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,7.0,,,,0.35,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,8.0,,,,0.35625,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,9.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,10.0,,,0.22187499925494195,,0.22187499925494195,0.1949723453260958,0.075,0.47000000029802325,0.1949723453260958,
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,11.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,12.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,13.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,14.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,15.0,,,,0.31875,,,,,,1.0
discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,SF,39,1,16.0,,,0.18249999582767487,,0.18249999582767487,0.2226230889558792,0.05000000074505806,0.5049999982118607,0.2226230889558792,
