problem_index,seed,arm,name,step,reward
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,1.0,0.22
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,2.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,3.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,4.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,5.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,6.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,7.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,8.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,9.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,10.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,11.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,12.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,13.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,14.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,15.0,1.0
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,1.0,0.33125
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,2.0,0.4
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,3.0,0.15
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,4.0,0.11249999999999999
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,5.0,0.09375
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,6.0,0.08125
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,7.0,0.35
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,8.0,0.225
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,9.0,0.25625
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,10.0,0.3875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,11.0,0.21875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,12.0,0.31875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,13.0,0.08125
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,14.0,0.31875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,15.0,0.05625
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,1.0,0.0875
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,2.0,0.1225
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,3.0,0.38
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,4.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,5.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,6.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,7.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,8.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,9.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,10.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,11.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,12.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,13.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,14.0,1.0
39,1,TF,teacherfirst-Qwen3-4B-idx39-15step-good_only-T2_standard,15.0,1.0
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,1.0,0.2125
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,2.0,0.61875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,3.0,0.1
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,4.0,0.1875
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,5.0,0.11249999999999999
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,6.0,0.05625
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,7.0,0.14375
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,8.0,0.35
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,9.0,0.35625
39,1,SF,discovery-Qwen3-4B-idx39-15step-hybrid-T2_standard,10.0,0.08125
